date,run_timestamp,site,engine,clicks
2026-05-28,2026-05-28T02:51:42Z,sanfranciscobriefing.com,google.com,10
2026-05-28,2026-05-28T02:51:42Z,sanfranciscobriefing.com,yahoo.com,0
2026-05-28,2026-05-28T02:51:42Z,sanfranciscobriefing.com,bing.com,0
2026-05-28,2026-05-28T06:55:10Z,sanfranciscobriefing.com,google.com,10
2026-05-28,2026-05-28T06:55:10Z,sanfranciscobriefing.com,yahoo.com,0
2026-05-28,2026-05-28T06:55:10Z,sanfranciscobriefing.com,bing.com,0
2026-05-28,2026-05-28T12:30:11Z,sanfranciscobriefing.com,google.com,10
2026-05-28,2026-05-28T12:30:11Z,sanfranciscobriefing.com,yahoo.com,0
2026-05-28,2026-05-28T12:30:11Z,sanfranciscobriefing.com,bing.com,0
2026-05-28,2026-05-28T18:10:54Z,sanfranciscobriefing.com,google.com,10
2026-05-28,2026-05-28T18:10:54Z,sanfranciscobriefing.com,yahoo.com,0
2026-05-28,2026-05-28T18:10:54Z,sanfranciscobriefing.com,bing.com,0
