url,title,h1,h2s,top_words,top_bigrams,word_count
https://nyartisinal.com,"NY Artisinal - Explore the essence of New York art and artisan culture with nyartisinal.com: Crafting stories, inspiring creativity, celebrating diversity.",,"Actions | Selected media actions | {{ data.message }} | Drop files to upload | Uploading | Attachment Preview | Details | Attachment Details			
				
				Saved.","new(18), editorial(10), read(10), stories(9), local(9), highlights(9), staff(9), min(9), york(6), stock(6), market(6), uncategorized(6), trending(5), img(5), breaking(4), brian(4), ferdinand(4), hellip(4), london(4), artisinal(3)","local new(9), new highlights(9), min read(9), editorial staff(8), new york(5), stock market(5), brian ferdinand(4), hellip editorial(4), read img(4), artisinal explore(2), essence new(2), york art(2), artisan culture(2), nyartisinal com(2), com crafting(2)",525
https://nyartisinal.com/,"NY Artisinal - Explore the essence of New York art and artisan culture with nyartisinal.com: Crafting stories, inspiring creativity, celebrating diversity.",,"Actions | Selected media actions | {{ data.message }} | Drop files to upload | Uploading | Attachment Preview | Details | Attachment Details			
				
				Saved.","new(18), editorial(10), read(10), stories(9), local(9), highlights(9), staff(9), min(9), york(6), market(6), uncategorized(6), trending(5), stock(5), img(5), breaking(4), media(4), brian(4), ferdinand(4), hellip(4), london(4)","local new(9), new highlights(9), min read(9), editorial staff(8), new york(5), stock market(5), brian ferdinand(4), hellip editorial(4), read img(4), artisinal explore(2), essence new(2), york art(2), artisan culture(2), nyartisinal com(2), com crafting(2)",525
https://nyartisinal.com/page/2/,"NY Artisinal - Page 2 of 41 - Explore the essence of New York art and artisan culture with nyartisinal.com: Crafting stories, inspiring creativity, celebrating diversity.",,"Actions | Selected media actions | {{ data.message }} | Drop files to upload | Uploading | Attachment Preview | Details | Attachment Details			
				
				Saved.","new(18), editorial(10), read(10), stories(9), local(9), highlights(9), staff(9), min(9), york(6), market(6), uncategorized(6), trending(5), stock(5), img(5), breaking(4), revolutionizing(4), brian(4), ferdinand(4), hellip(4), london(4)","local new(9), new highlights(9), min read(9), editorial staff(8), new york(5), stock market(5), brian ferdinand(4), hellip editorial(4), read img(4), essence new(2), york art(2), artisan culture(2), nyartisinal com(2), com crafting(2), crafting stories(2)",523
https://nyartisinal.com/wp-includes/css/dist/block-library/style.min.css?ver=6.9.4,,,,"wp-block-(373), where(250), has-nested-images(161), color(127), width(118), wp-block-cover(117), has-background-dim(116), wp-block-social-links(116), has-background-dim-(115), container(115), wp-block-gallery(109), inherit(108), display(108), wp-block-cover-image(103), is-style-logos-only(94), columns-(90), background-color(89), style(88), wp-block-image(88), none(86)","wp-block- container(115), has-background-dim has-background-dim-(104), where wp-block-social-links(96), has-nested-images columns-(67), box-sizing border-box(63), wp-block- background(59), wp-block-gallery has-nested-images(55), figure wp-block-image(51), color fff(50), wp-block-social-links is-style-logos-only(48), color where(45), fff where(44), background-color color(44), has-background-dim- wp-block-(40), display flex(39)",8051
https://nyartisinal.com/wp-content/plugins/co-author/public/css/co-author-public.css?ver=1.0.0,,,,"all(1), css(1), public-facing(1), functionality(1), included(1), file(1)",public-facing functionality(1),11
https://nyartisinal.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5,,,,"form(12), response-output(11), display(7), none(6), position(5), border(5), opacity(5), input(5), type(5), width(4), margin(4), padding(4), border-color(4), spinner(4), hidden(3), height(3), relative(3), before(3), cursor(3), absolute(2)","response-output form(5), input type(5), response-output border-color(4), display none(3), position relative(3), position absolute(2), margin padding(2), padding border(2), none form(2), border solid(2), form submitting(2), top left(2), display inline-block(2), spinner visibility(2), hidden display(2)",207
https://nyartisinal.com/wp-content/plugins/wp-user-profile-avatar/assets/lib/fontawesome/all.css?ver=4.4.0,,,,"before(2468), content(2468), var(155), webkit-transform(53), transform(53), rotate(52), scale(50), fa-(33), translatey(28), normal(24), fonts(21), url(20), format(20), font(17), awesome(17), font-size(17), fa-animation-direction(17), fa-animation-duration(16), fa-animation-iteration-count(16), infinite(16)","before content(2468), webkit-transform rotate(26), transform rotate(26), webkit-transform scale(25), transform scale(25), rotate transform(25), scale var(20), url fonts(20), rotate webkit-transform(18), content fa-(18), font awesome(17), fa- before(17), var fa-animation-direction(16), fa-animation-direction normal(16), var fa-animation-duration(16)",8646
https://nyartisinal.com/wp-includes/css/buttons.min.css?ver=6.9.4,,,,"wp-core-ui(80), button(40), button-primary(17), color(16), none(15), focus(14), background(14), active(13), box-shadow(13), border-color(13), button-group(11), important(11), padding(10), hover(10), disabled(10), button-secondary(9), input(9), line-height(8), min-height(8), font-size(7)","wp-core-ui button(24), wp-core-ui button-primary(16), wp-core-ui button-group(11), wp-core-ui button-secondary(9), focus wp-core-ui(8), wp-core-ui input(7), input type(7), disabled wp-core-ui(7), button wp-core-ui(6), box-shadow none(6), background border-color(6), button active(6), border-color box-shadow(6), button-group button(6), type reset(5)",502
https://nyartisinal.com/wp-includes/css/dashicons.min.css?ver=6.9.4,,,,"before(350), content(349), dashicons(6), url(4), fonts(3), format(3), font-family(2), src(2), eot(2), font-weight(2), font-style(2), normal(2), dashicons-admin-site-(2), dashicons-menu-(2), dashicons-video-(2), file(1), auto-generated(1), font-face(1), iefix(1), embedded-opentype(1)","before content(349), url fonts(3), fonts dashicons(3), font-family dashicons(2), src url(2), dashicons eot(2), font-weight font-style(2), font-style normal(2), content dashicons-admin-site-(2), dashicons-admin-site- before(2), content dashicons-menu-(2), dashicons-menu- before(2), content dashicons-video-(2), dashicons-video- before(2), file auto-generated(1)",1214
https://nyartisinal.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17,,,,"width(35), position(30), height(27), background(24), display(23), left(22), absolute(21), hsla(18), translatex(18), margin(17), transparent(17), background-position(16), padding(13), none(13), webkit-transform(13), transform(13), button(13), top(12), center(12), hidden(11)","position absolute(21), overflow hidden(10), button background-position(9), position relative(8), background hsla(8), hidden padding(7), display none(7), absolute top(7), display block(7), cursor pointer(6), height left(6), color fff(6), webkit-transform translatex(6), translatex ms-transform(6), ms-transform translatex(6)",845
